"table_name","column_name","data_type"
advance_files,id,integer
advance_files,advance_request_id,integer
advance_files,filename,text
advance_files,originalname,text
advance_files,uploaded_at,timestamp without time zone
advance_files,document_type,character varying
advance_files,uploaded_by,integer
advance_history,id,integer
advance_history,advance_request_id,integer
advance_history,old_status,character varying
advance_history,new_status,character varying
advance_history,changed_by,integer
advance_history,description,text
advance_history,changed_at,timestamp without time zone
advance_requests,id,integer
advance_requests,personnel_id,integer
advance_requests,amount,numeric
advance_requests,request_date,timestamp without time zone
advance_requests,status,character varying
advance_requests,approved_by,integer
advance_requests,approved_date,timestamp without time zone
advance_requests,reason,text
advance_requests,approval_reason,text
advance_requests,created_at,timestamp without time zone
advance_requests,updated_at,timestamp without time zone
advance_requests,completed_by,integer
advance_requests,completed_date,timestamp without time zone
advance_requests,completion_note,text
advance_requests,completion_document,text
advance_requests,is_completed,boolean
advance_requests,payment_method,character varying
advance_requests,payment_date,timestamp without time zone
advance_requests,paid_by,integer
advance_requests,payment_description,text
calendar_events,id,integer
calendar_events,title,character varying
calendar_events,description,text
calendar_events,event_type,character varying
calendar_events,start_date,timestamp without time zone
calendar_events,end_date,timestamp without time zone
calendar_events,created_by,integer
calendar_events,created_at,timestamp without time zone
calendar_events,updated_at,timestamp without time zone
calendar_events,status,character varying
calendar_events,is_deleted,boolean
calendar_events,participants,ARRAY
calendar_leaves,id,integer
calendar_leaves,start_date,date
calendar_leaves,end_date,date
calendar_leaves,leave_type_id,integer
calendar_leaves,leave_type,character varying
calendar_leaves,personnel_name,text
calendar_leaves,status,character varying
company_settings,id,integer
company_settings,setting_key,character varying
company_settings,setting_value,text
company_settings,created_at,timestamp without time zone
company_settings,updated_at,timestamp without time zone
content_types,id,integer
content_types,name,character varying
department_shift_settings,id,integer
department_shift_settings,department_id,integer
department_shift_settings,shift_type_id,integer
department_shift_settings,has_fixed_schedule,boolean
department_shift_settings,fixed_start_time,time without time zone
department_shift_settings,fixed_end_time,time without time zone
department_shift_settings,work_days,ARRAY
department_shift_settings,is_active,boolean
department_shift_settings,created_at,timestamp without time zone
department_shift_settings,updated_at,timestamp without time zone
departments,id,integer
departments,name,character varying
employment_history,id,integer
employment_history,personnel_id,integer
employment_history,hire_date,date
employment_history,termination_date,date
employment_history,created_at,timestamp without time zone
employment_history,department_id,integer
employment_history,title_id,integer
event_participants,id,integer
event_participants,event_id,integer
event_participants,personnel_id,integer
event_participants,status,character varying
event_participants,notification_sent,boolean
event_participants,created_at,timestamp without time zone
event_reminders,id,integer
event_reminders,event_id,integer
event_reminders,reminder_type,character varying
event_reminders,reminder_time,timestamp without time zone
event_reminders,status,character varying
event_reminders,created_at,timestamp without time zone
expense_categories,id,integer
expense_categories,name,character varying
expense_categories,description,text
expense_categories,code,character varying
expense_categories,parent_id,integer
expense_categories,budget_limit,numeric
expense_categories,created_at,timestamp with time zone
expense_categories,updated_at,timestamp with time zone
expense_categories,is_active,boolean
expense_content_types,id,integer
expense_content_types,name,character varying
expense_content_types,description,text
expense_content_types,file_extensions,ARRAY
expense_content_types,max_file_size,integer
expense_content_types,created_at,timestamp with time zone
expense_content_types,updated_at,timestamp with time zone
expense_content_types,is_active,boolean
expense_files,id,integer
expense_files,expense_id,integer
expense_files,filename,text
expense_files,originalname,text
expense_files,uploaded_at,timestamp without time zone
expense_files,file_type,character varying
expense_files,uploaded_by,integer
expense_files,document_type,character varying
